X,Y,rand_point,fid,DN,elev_1,slope_1,aspect_1,rough_1,tri_1
85.4238026172703,22.2302003453292,0,1,1,,,,,
85.4182987627607,22.2300362141623,1,2,1,444,16.4462909698486,360,,15.5884571075439
85.4295572772205,22.229797467281,2,3,1,434,17.279354095459,279.865783691406,9.10844039916992,23.1084403991699
85.429738061714,22.2302389749791,3,3,1,445,18.1621971130371,270,,19.2353839874268
85.4542434314883,22.2297961509076,4,4,1,427,15.4052257537842,103.772644042969,6.52540683746338,20.2731342315674
85.454443548789,22.230224407595,5,4,1,,,,,
85.4539323667881,22.2301792568598,6,4,1,439,15.1312322616577,131.846145629883,,16.3401355743408
85.4612899890153,22.229851911242,7,5,1,416,17.4863452911377,108.200202941895,,18.8944435119629
85.4151852666347,22.2294588508958,8,6,1,427,19.6976451873779,228.377304077148,25.7840614318848,32.4191284179688
85.4147714106822,22.2300369331167,9,6,1,407,15.4689445495605,266.602661132812,,16.0312194824219
85.4159117518415,22.2294911566923,10,6,1,433,18.245512008667,206.434967041016,12.108962059021,25.337718963623
85.416424143166,22.2295948776472,11,6,1,447,11.8281087875366,203.05500793457,17.8828811645508,17.1172428131104
85.4153017404849,22.2299187367941,12,6,1,432,17.7149505615234,283.35791015625,,24.4131107330322
85.4292627037773,22.229322798831,13,7,0,431,13.5851945877075,259.243927001953,10.2036285400391,18.165901184082
85.4308958585033,22.2298286455326,14,7,0,450,7.79674053192139,133.526077270508,13.1314392089844,11.357816696167
85.4298732656516,22.2295020950697,15,7,0,446,11.8465509414673,255.279968261719,8.51392078399658,19.1049728393555
85.4320205592985,22.2300606496132,16,7,0,455,9.79605579376221,90,,10.1980390548706
85.430344306278,22.2301885483805,17,7,0,454,0.989165484905243,270,,1.41421353816986
85.429351080399,22.2299811829259,18,7,0,427,13.5890264511108,270,,14
85.4305107346452,22.2293806219544,19,7,0,441,12.3738794326782,172.083679199219,14.3079328536987,16.7332000732422
85.4316405005377,22.2296036853289,20,7,0,450,14.6355991363525,206.505630493164,8.27181243896484,21.1896209716797
85.4340733621616,22.2295280675287,21,8,1,402,17.7076148986816,115.071441650391,11.7097187042236,22.9346904754639
85.4339467989758,22.2299862141504,22,8,1,407,18.2848892211914,121.40843963623,,18.9208869934082
